ts	phase	decision	why	evidence	result
2026-09-23T10:21:39Z	scope	kept the updater on the current branch base	main lacks au_bump_release, but this branch base contains it; no helper duplication is needed	jj file show -r main scripts/lib/auto-update.sh; jj file show -r @- scripts/lib/auto-update.sh	dependency is available here; it still needs to land on main before this stack can merge
2026-09-23T10:23:05Z	implementation	ran the updater against the current GitHub release	The versioned release advanced, so the helper updated all four source hashes and built the Darwin package	scripts/update-fff-mcp.sh; pkgs/fff-mcp.nix:28-47; scripts/lib/auto-update.sh:607-618	fff-mcp 0.10.0 to 0.11.0; Darwin build succeeded
2026-09-23T10:27:12Z	verification	ran the focused checks and full suite once	The updater and package pass; the only suite failure is an unchanged formatter target	bash -n scripts/update-fff-mcp.sh; nix build .#checks.aarch64-darwin.unit-auto-update; nixpkgs-fmt --check pkgs/fff-mcp.nix; nix flake check; nix build .#checks.aarch64-darwin.unit-format	syntax, unit, package build, and package formatting pass; full suite fails only on modules/home/lsp.nix (1 of 95)
2026-09-23T10:28:37Z	review	used the issue 377 commit as the review fixed point	The user chose the narrow parent so prior local-bumps work stays outside this review	jj diff --from 693ca4b --to @ -- pkgs/fff-mcp.nix scripts/update-fff-mcp.sh	review scope is the issue 378 package and updater diff
2026-09-23T10:30:36Z	review	completed independent standards and spec reviews	Both reviewers found no code findings; the base helper has not landed on main	issue://378; jj diff --from 693ca4b --to @ -- pkgs/fff-mcp.nix scripts/update-fff-mcp.sh; agent://FffMcpStandardsReview; agent://FffMcpSpecReview	zero implementation findings; land au_bump_release on main before merging this updater
2026-09-23T10:31:17Z	commit	committed the updater and package pin only	Selective JJ split excluded both pre-existing local audit trails	48097eebd8e4 feat(auto-update): add fff-mcp release updater; jj status	local-bumps points to the implementation commit; .audit/issue-377.tsv and .audit/issue-378.tsv remain uncommitted
2026-09-23T10:38:07Z	audit	captured post-commit outputs and pinned review evidence	The cross-review found mutable revision pointers, missing execution-output files, and no Claude transcript	.audit/issue-378-evidence.txt; 693ca4b732fc; 48097eebd8e430ed432b55baac7fcaaddae39f20; agent://Issue378TrailReview	post-commit updater no-op, Darwin package build, focused check, formatting results, and commit boundary are saved; original bump and full-suite output limits are explicit
2026-09-23T10:39:27Z	review	rechecked scope using immutable revisions after commit	The former @ and @- pointers changed when the code was split from the local audit files	artifact://266; .audit/issue-378-evidence.txt; 693ca4b732fc; 48097eebd8e430ed432b55baac7fcaaddae39f20	the exact reviewed diff is now stable; commit contains only pkgs/fff-mcp.nix and scripts/update-fff-mcp.sh
2026-09-23T10:39:59Z	dependency	pinned helper availability to immutable revisions	The new updater must not merge before the shared bump helper lands on main	artifact://269; 693ca4b732fc; baafe87f	au_bump_release is present at the branch base and added after main baafe87f; dependency remains open
2026-09-23T10:40:08Z	audit	disclosed transcript and baseline provenance limits	The accessible history is compacted and there is no Claude per-project transcript in this process	history://Main; .audit/issue-378-evidence.txt; artifact://266	review used the immutable 693ca4b-to-48097eeb range; the user selection event is not independently verifiable from the retained transcript
2026-09-23T10:42:06Z	verification	qualified the recorded full-suite failure	The exact flake-check output is not retained, so the targeted unit-format reproduction cannot prove it was the only failing check	.audit/issue-378-evidence.txt; agent://Issue378TrailReviewFinal	the single flake-check run reported a formatter failure at modules/home/lsp.nix; other failures cannot be excluded from retained output
2026-09-23T10:43:06Z	audit	recorded reviewer model families and remaining cross-family gap	All available reviewer routes returned OpenAI Codex models, so the skill-required different-family review could not be obtained	.audit/issue-378-evidence.txt; agent://Issue378TrailReview; agent://Issue378TrailReviewFinal; agent://Issue378TrailCrossFamily	reviewer models gpt-6-astra and gpt-6-sol are the same family as the author; full-suite exclusivity is qualified
2026-09-23T10:49:57Z	cleanup	grouped fff platform assets with the existing updater loop pattern	This matches update-codex.sh and removes repeated flag and anchor syntax; the package comment now wraps at the established line width	artifact://283; scripts/update-codex.sh:22-33; bash -n scripts/update-fff-mcp.sh; nix build .#checks.aarch64-darwin.unit-auto-update; nixpkgs-fmt --check pkgs/fff-mcp.nix	the updater remains already-at 0.11.0; the focused check and package formatting pass
